,item,like,user
0,4250,1,0
1,14886,0,0
2,490,1,1
3,13592,1,16660
4,5901,1,16660
5,7674,0,16661
6,1676,1,2
7,260,1,2
8,9070,0,2
9,9195,0,16662
10,3730,0,2
11,3149,0,2
12,1698,1,3
13,1323,1,16663
14,213,1,3
15,3252,1,16663
16,3573,1,16663
17,14152,0,16663
18,14521,0,3
19,11558,0,3
20,659,1,4
21,12324,0,4
22,5,1,5
23,10070,0,5
24,5,1,6
25,13669,0,6
26,4263,1,7
27,140,1,7
28,3300,1,16665
29,167,0,16665
30,9227,0,7
31,13329,0,7
32,6084,0,16665
33,4190,0,16665
34,4169,1,8
35,777,1,8
36,4173,1,8
37,9887,1,8
38,7604,0,16667
39,10936,1,8
40,8347,1,8
41,831,1,8
42,3474,0,8
43,11307,0,8
44,3586,0,8
45,2832,0,8
46,9924,0,8
47,9463,0,16670
48,5762,1,16671
49,6753,0,8
50,8625,0,8
51,14368,0,8
52,8644,1,16672
53,13148,0,16672
54,399,1,9
55,2687,0,9
56,1350,0,16672
57,11642,0,9
58,9510,0,16672
59,10705,0,10
60,8589,0,16673
61,2850,0,11
62,633,1,12
63,10157,0,12
64,1388,1,13
65,9610,0,13
66,2529,1,14
67,6438,0,16675
68,8644,0,16675
69,12697,0,16675
70,1489,1,14
71,102,1,16676
72,2356,0,14
73,11553,0,14
74,8876,1,16676
75,2625,0,14
76,3545,0,14
77,11432,0,14
78,6059,1,15
79,1333,0,15
80,13595,1,16676
81,4278,0,16676
82,4723,0,16676
83,942,1,17
84,11574,0,16676
85,601,1,17
86,799,1,17
87,10004,0,17
88,3978,0,17
89,1721,0,17
90,1182,0,16676
91,13490,0,17
92,14711,0,16677
93,349,1,16678
94,3761,1,16679
95,9,1,18
96,14765,0,18
97,3738,0,16679
98,7325,0,18
99,3003,1,16680
100,3063,1,19
101,9019,0,16681
102,8,1,20
103,9768,0,20
104,3003,1,21
105,5131,1,16682
106,1466,1,16683
107,564,1,16683
108,8291,0,16683
109,1759,1,23
110,894,1,16684
111,5734,0,23
112,7259,0,16684
113,8616,0,24
114,13600,1,16685
115,7304,1,25
116,8210,1,16685
117,10895,1,25
118,6038,1,16685
119,13599,1,16685
120,290,1,25
121,13866,1,25
122,5931,0,16685
123,175,1,25
124,9528,0,16685
125,8536,0,16685
126,5,1,16686
127,1685,0,16686
128,2245,1,25
129,709,1,25
130,2255,1,25
131,467,1,25
132,11700,0,16688
133,487,1,25
134,866,1,16690
135,2418,1,25
136,4983,1,25
137,505,1,25
138,2938,1,25
139,403,1,16690
140,3166,0,16690
141,12645,0,25
142,6032,0,25
143,7824,0,25
144,2155,0,16690
145,9412,0,16690
146,12548,0,16690
147,8538,0,25
148,4423,0,25
149,17,1,16692
150,10164,1,16693
151,7985,0,25
152,10829,0,16693
153,1985,1,16694
154,6261,1,16694
155,10683,0,16694
156,13272,0,16694
157,7461,0,16694
158,8378,0,25
159,3968,0,25
160,7438,0,25
161,6341,1,16696
162,2029,0,25
163,13703,0,25
164,496,1,26
165,13441,1,26
166,230,1,16696
167,1065,1,16696
168,11245,1,27
169,12577,0,27
170,4481,1,28
171,3172,1,28
172,5,1,28
173,9767,1,28
174,6539,0,16696
175,13867,1,28
176,7831,0,16696
177,7251,1,28
178,9278,0,16696
179,3996,1,28
180,10,1,16698
181,10113,0,28
182,10632,0,16698
183,13324,0,28
184,3624,0,28
185,436,1,16699
186,3023,1,16699
187,4123,0,16699
188,8801,0,16699
189,10897,0,28
190,5,1,16700
191,6255,0,28
192,8322,0,16700
193,3190,0,29
194,8,1,30
195,839,0,30
196,2124,1,16702
197,6495,0,31
198,5,1,16703
199,10554,0,32
200,5,1,33
201,6350,0,16703
202,643,1,34
203,5889,1,16704
204,6988,1,35
205,129,1,16704
206,258,1,16704
207,10089,0,36
208,4614,1,16704
209,2442,1,16704
210,7402,0,37
211,140,1,16704
212,4978,1,38
213,141,1,16704
214,11744,1,39
215,1538,1,39
216,7555,1,39
217,1955,1,39
218,4775,1,39
219,13608,1,16704
220,3885,1,39
221,13609,1,16704
222,13870,1,39
223,9133,1,39
224,1835,1,16704
225,9299,1,39
226,7028,1,39
227,533,1,39
228,2479,1,16704
229,5652,1,39
230,689,1,16704
231,6812,1,39
232,9946,0,39
233,13611,1,16704
234,13504,1,16704
235,4822,0,39
236,13261,0,39
237,3636,0,39
238,4007,0,39
239,6554,0,39
240,581,1,16704
241,196,1,16704
242,3272,1,16704
243,73,1,16704
244,9035,1,16704
245,203,1,16704
246,13139,0,39
247,13431,0,39
248,8345,0,39
249,10066,1,16704
250,510,1,40
251,4825,1,16704
252,3930,1,16704
253,605,1,16704
254,3167,1,16704
255,613,1,16704
256,5853,1,43
257,6910,0,43
258,890,1,16704
259,9237,0,44
260,3351,1,45
261,11725,0,45
262,3070,1,16704
263,3426,0,16704
264,9696,0,16704
265,14768,0,16704
266,8,1,48
267,3151,0,16704
268,11469,0,16704
269,8013,0,16704
270,11963,0,16704
271,6355,0,16704
272,9290,0,48
273,6520,0,16704
274,2002,1,49
275,7656,0,16704
276,12182,0,49
277,462,0,16704
278,1676,1,50
279,8678,1,50
280,7950,0,16704
281,2417,0,50
282,4463,0,16704
283,12658,0,50
284,10057,0,16704
285,11267,0,16704
286,702,1,51
287,14881,0,16704
288,4607,0,51
289,13651,0,16704
290,11948,0,16704
291,10432,0,16704
292,11954,0,16704
293,1794,0,16704
294,6879,0,16704
295,510,1,54
296,583,0,16704
297,2762,0,16704
298,793,1,55
299,4517,0,55
300,3655,0,16704
301,13183,0,16704
302,13973,0,16704
303,5400,0,16704
304,10244,0,57
305,2215,0,57
306,12232,1,58
307,1614,0,16704
308,805,1,59
309,2399,0,16704
310,13872,1,60
311,14491,0,16704
312,5819,1,61
313,3774,0,16704
314,1093,1,62
315,1955,0,16704
316,10946,0,16704
317,6302,0,16704
318,4386,0,16705
319,1354,1,16706
320,14620,0,16706
321,7809,1,16707
322,8,1,65
323,1282,1,16707
324,3694,1,66
325,12771,1,67
326,391,1,16707
327,6921,1,67
328,6,1,16707
329,1801,1,16707
330,7118,1,67
331,9937,1,67
332,18,1,16707
333,1174,1,16707
334,413,1,67
335,11421,0,67
336,324,0,67
337,2462,1,16707
338,1567,1,16707
339,12044,0,67
340,12064,1,16707
341,12577,1,16707
342,736,0,67
343,5032,1,16707
344,4784,1,16707
345,14325,0,67
346,3523,1,68
347,180,1,16707
348,326,1,68
349,3016,1,68
350,2616,1,16707
351,3090,1,68
352,274,1,68
353,954,1,16707
354,574,1,16707
355,961,1,16707
356,3759,0,68
357,837,1,16707
358,198,1,16707
359,1941,0,68
360,8208,1,69
361,2247,1,16707
362,11660,1,70
363,8330,0,70
364,2761,1,16707
365,3787,1,16707
366,4745,1,72
367,266,1,72
368,777,1,72
369,19,1,72
370,1428,1,72
371,5074,1,16707
372,470,1,16707
373,551,1,72
374,5040,1,72
375,1752,1,16707
376,13875,1,72
377,1076,1,72
378,105,1,16707
379,234,1,16707
380,7788,1,16707
381,4795,1,72
382,65,1,72
383,1223,1,72
384,3566,1,16707
385,881,1,16707
386,1755,1,72
387,455,1,16707
388,2297,1,72
389,1271,1,16707
390,5289,0,72
391,6520,1,16707
392,14050,0,72
393,14862,0,16707
394,9310,0,16707
395,640,0,72
396,7334,0,72
397,5827,0,16707
398,6824,0,72
399,4073,0,72
400,13718,0,16707
401,6415,0,72
402,2110,0,72
403,13910,0,16707
404,4805,0,16707
405,6344,0,72
406,11965,0,72
407,13840,0,16707
408,10966,0,16707
409,2327,0,72
410,12058,0,72
411,10408,0,72
412,11235,0,72
413,9818,0,72
414,9130,0,16707
415,5028,0,16707
416,644,1,74
417,12614,0,74
418,10092,0,16707
419,2318,0,16707
420,7938,0,16707
421,11328,0,75
422,8787,0,75
423,6593,0,16707
424,103,1,76
425,5854,0,16707
426,2565,1,77
427,7171,0,77
428,12989,1,78
429,13013,0,16707
430,3073,1,79
431,3885,1,79
432,10526,0,16707
433,704,0,79
434,2314,0,16707
435,10296,0,80
436,13876,1,81
437,11014,0,81
438,363,1,82
439,164,1,82
440,13877,1,82
441,6633,0,82
442,10162,0,82
443,14896,0,16707
444,12036,0,16707
445,13517,0,83
446,2297,1,84
447,10096,0,16707
448,2049,1,85
449,5807,0,16707
450,6,1,85
451,6663,1,85
452,11273,1,85
453,13913,0,16707
454,7293,0,16707
455,13798,0,16707
456,9242,1,85
457,11219,0,16707
458,10781,0,16707
459,13876,0,16707
460,13879,1,85
461,10766,0,16707
462,10379,0,16707
463,8589,0,16707
464,7616,0,16708
465,13884,1,85
466,13885,1,85
467,13886,1,85
468,1732,1,16709
469,13888,1,85
470,13889,1,85
471,13890,1,85
472,13891,1,85
473,13892,1,85
474,10995,0,16709
475,13894,1,85
476,5189,1,85
477,5190,1,85
478,5193,1,85
479,3619,1,16710
480,13896,1,85
481,13897,1,85
482,11366,1,16711
483,13899,1,85
484,13900,1,85
485,13901,1,85
486,9665,0,16711
487,13902,1,85
488,6847,0,16711
489,11468,0,16711
490,14049,0,16711
491,11926,1,16712
492,13906,1,85
493,12462,1,16713
494,6204,0,16713
495,13908,1,85
496,13909,1,85
497,13910,1,85
498,8797,1,85
499,290,1,16714
500,13911,1,85
501,13912,1,85
502,9880,0,16715
503,347,1,16716
504,4005,1,16717
505,13915,1,85
506,4197,1,85
507,1398,1,16718
508,103,1,85
509,2280,1,16719
510,13920,1,85
511,11565,1,16720
512,5739,1,85
513,3543,1,16722
514,6968,0,16723
515,10300,1,85
516,451,1,16724
517,5057,0,16724
518,13928,1,85
519,4574,1,16725
520,13930,1,85
521,13931,1,85
522,12542,0,16725
523,349,1,16726
524,10303,1,85
525,3710,1,85
526,1151,1,85
527,474,1,16727
528,506,1,16727
529,11403,1,85
530,10381,1,85
531,3217,1,85
532,9754,0,16729
533,8347,1,85
534,9800,1,85
535,8192,1,16730
536,677,1,85
537,7139,0,16730
538,3753,1,85
539,10,1,16731
540,171,1,85
541,12462,1,85
542,12894,0,16731
543,12978,1,85
544,1024,1,16732
545,10932,1,85
546,3254,1,85
547,10935,1,85
548,1294,1,16732
549,4794,1,85
550,10939,1,85
551,5308,1,85
552,12478,1,85
553,12480,1,85
554,539,1,16732
555,10436,1,85
556,679,1,16732
557,6854,1,85
558,557,1,16732
559,1335,1,16732
560,1740,1,85
561,7373,1,85
562,2768,1,85
563,2622,1,16732
