,item,like,user
0,20,1,0
1,21,1,0
2,23,1,0
3,24,1,0
4,25,1,0
5,26,1,0
6,27,1,0
7,28,1,0
8,29,1,0
9,30,1,0
10,31,1,0
11,2432,0,0
12,1406,0,0
13,1962,0,0
14,2584,0,0
15,3239,0,0
16,2995,0,0
17,33,1,1
18,34,1,2
19,35,1,2
20,37,1,2
21,38,1,2
22,39,1,2
23,40,1,2
24,41,1,2
25,42,1,2
26,43,1,2
27,2716,0,2
28,919,0,2
29,2437,0,2
30,1009,0,2
31,2188,0,2
32,44,1,3
33,47,1,3
34,49,1,3
35,51,1,3
36,52,1,3
37,53,1,3
38,54,1,3
39,55,1,3
40,56,1,3
41,57,1,3
42,2044,0,3
43,594,0,3
44,697,0,3
45,437,0,3
46,3809,0,3
47,3213,0,3
48,64,1,4
49,65,1,4
50,69,1,4
51,70,1,4
52,71,1,4
53,59,1,4
54,60,1,4
55,61,1,4
56,63,1,4
57,2380,0,4
58,1778,0,4
59,289,0,4
60,2246,0,4
61,2540,0,4
62,75,1,5
63,79,1,5
64,80,1,5
65,2181,0,5
66,1392,0,5
67,2979,0,5
68,1239,0,5
69,2891,0,5
70,66,1,6
71,75,1,6
72,82,1,6
73,84,1,6
74,85,1,6
75,86,1,6
76,87,1,6
77,89,1,6
78,90,1,6
79,91,1,6
80,92,1,6
81,1796,0,6
82,2445,0,6
83,278,0,6
84,2551,0,6
85,2459,0,6
86,2183,0,6
87,1726,0,6
88,3689,0,6
89,1584,0,6
90,1719,0,6
91,583,0,6
92,1369,0,6
93,97,1,7
94,98,1,7
95,100,1,7
96,102,1,7
97,103,1,7
98,95,1,7
99,1661,0,7
100,1682,0,7
101,1852,0,7
102,273,0,7
103,2605,0,7
104,107,1,8
105,109,1,8
106,111,1,8
107,113,1,8
108,114,1,8
109,1890,0,8
110,1224,0,8
111,783,0,8
112,1472,0,8
113,1063,0,8
114,3083,0,8
115,1685,0,8
116,2561,0,8
117,1893,0,8
118,907,0,8
119,116,1,9
120,1576,0,9
121,3581,0,9
122,96,1,10
123,100,1,10
124,43,1,10
125,118,1,10
126,119,1,10
127,121,1,10
128,122,1,10
129,125,1,10
130,126,1,10
131,3657,0,10
132,241,0,10
133,3288,0,10
134,2624,0,10
135,809,0,10
136,3798,0,10
137,129,1,11
138,130,1,11
139,131,1,11
140,132,1,11
141,79,1,11
142,87,1,11
143,3630,0,11
144,3789,0,11
145,3382,0,11
146,3165,0,11
147,3223,0,11
148,408,0,11
149,1743,0,11
150,138,1,12
151,139,1,12
152,140,1,12
153,141,1,12
154,143,1,12
155,144,1,12
156,145,1,12
157,149,1,12
158,150,1,12
159,151,1,12
160,3580,0,12
161,1579,0,12
162,689,0,12
163,2840,0,12
164,1131,0,12
165,910,0,12
166,569,0,12
167,1673,0,12
168,160,1,13
169,164,1,13
170,165,1,13
171,166,1,13
172,53,1,13
173,155,1,13
174,156,1,13
175,158,1,13
176,555,0,13
177,466,0,13
178,2076,0,13
179,827,0,13
180,3763,0,13
181,2581,0,13
182,167,1,14
183,168,1,14
184,170,1,14
185,172,1,14
186,176,1,14
187,178,1,14
188,179,1,14
189,182,1,14
190,183,1,14
191,3474,0,14
192,742,0,14
193,11,0,14
194,3121,0,14
195,1107,0,14
196,477,0,14
197,201,0,14
198,1717,0,14
199,1068,0,14
200,3034,0,14
201,133,1,15
202,137,1,15
203,78,1,15
204,79,1,15
205,184,1,15
206,185,1,15
207,187,1,15
208,2080,0,15
209,3454,0,15
210,1244,0,15
211,2440,0,15
212,3197,0,15
213,192,1,16
214,194,1,16
215,52,1,16
216,189,1,16
217,190,1,16
218,191,1,16
219,3077,0,16
220,2708,0,16
221,785,0,16
222,2887,0,16
223,876,0,16
224,36,1,17
225,197,1,17
226,1634,0,17
227,1401,0,17
228,3444,0,17
229,130,1,18
230,135,1,18
231,74,1,18
232,204,1,18
233,79,1,18
234,177,1,18
235,185,1,18
236,2723,0,18
237,505,0,18
238,3608,0,18
239,2720,0,18
240,582,0,18
241,2528,0,18
242,481,0,18
243,151,0,18
244,102,1,19
245,209,1,19
246,210,1,19
247,211,1,19
248,213,1,19
249,214,1,19
250,215,1,19
251,216,1,19
252,217,1,19
253,219,1,19
254,220,1,19
255,2083,0,19
256,3011,0,19
257,3476,0,19
258,2351,0,19
259,382,0,19
260,1889,0,19
261,2717,0,19
262,655,0,19
263,2865,0,19
264,224,1,20
265,34,1,20
266,226,1,20
267,36,1,20
268,228,1,20
269,109,1,20
270,52,1,20
271,223,1,20
272,1075,0,20
273,2391,0,20
274,2313,0,20
275,3502,0,20
276,322,0,20
277,2496,0,20
278,628,0,20
279,170,0,20
280,231,1,21
281,232,1,21
282,234,1,21
283,235,1,21
284,236,1,21
285,3370,0,21
286,1678,0,21
287,3193,0,21
288,3809,0,21
289,208,0,21
290,2758,0,21
291,1834,0,21
292,130,1,22
293,135,1,22
294,72,1,22
295,73,1,22
296,74,1,22
297,80,1,22
298,239,1,22
299,87,1,22
300,88,1,22
301,3673,0,22
302,3414,0,22
303,296,0,22
304,1662,0,22
305,2166,0,22
306,1667,0,22
307,3,1,23
308,241,1,23
309,242,1,23
310,243,1,23
311,245,1,23
312,247,1,23
313,248,1,23
314,249,1,23
315,191,0,23
316,171,0,23
317,354,0,23
318,1780,0,23
319,1341,0,23
320,40,1,24
321,137,1,24
322,104,1,24
323,80,1,24
324,187,1,24
325,252,1,24
326,253,1,24
327,254,1,24
328,255,1,24
329,2559,0,24
330,741,0,24
331,3401,0,24
332,1954,0,24
333,453,0,24
334,3253,0,24
335,3447,0,24
336,3174,0,24
337,258,1,25
338,259,1,25
339,260,1,25
340,261,1,25
341,262,1,25
342,263,1,25
343,28,1,25
344,3033,0,25
345,1956,0,25
346,2582,0,25
347,3540,0,25
348,2224,0,25
349,1435,0,25
350,2579,0,25
351,135,1,26
352,47,1,26
353,80,1,26
354,185,1,26
355,3700,0,26
356,3434,0,26
357,2086,0,26
358,267,1,27
359,269,1,27
360,79,1,27
361,270,1,27
362,55,1,27
363,1155,0,27
364,3014,0,27
365,1623,0,27
366,2560,0,27
367,812,0,27
368,3624,0,27
369,750,0,27
370,227,1,28
371,271,1,28
372,272,1,28
373,273,1,28
374,275,1,28
375,276,1,28
376,277,1,28
377,155,1,28
378,254,1,28
379,1877,0,28
380,3717,0,28
381,961,0,28
382,1613,0,28
383,1106,0,28
384,3688,0,28
385,3506,0,28
386,2321,0,28
387,1351,0,28
388,96,1,29
389,44,1,29
390,210,1,29
391,52,1,29
392,278,1,29
393,279,1,29
394,280,1,29
395,281,1,29
396,283,1,29
397,221,1,29
398,2805,0,29
399,3473,0,29
400,1960,0,29
401,691,0,29
402,3758,0,29
403,288,1,30
404,34,1,30
405,165,1,30
406,40,1,30
407,42,1,30
408,285,1,30
409,3079,0,30
410,256,0,30
411,2793,0,30
412,879,0,30
413,3510,0,30
414,167,0,30
415,3194,0,30
416,1432,0,30
417,39,0,30
418,2983,0,30
419,1319,0,30
420,159,1,31
421,36,1,31
422,293,1,31
423,294,1,31
424,295,1,31
425,297,1,31
426,52,1,31
427,191,1,31
428,364,0,31
429,1631,0,31
430,74,0,31
431,465,0,31
432,1973,0,31
433,1103,0,31
434,300,1,32
435,2311,0,32
436,2285,0,32
437,199,1,33
438,302,1,33
439,47,1,33
440,208,1,33
441,303,1,33
442,304,1,33
443,305,1,33
444,3631,0,33
445,3110,0,33
446,26,0,33
447,197,0,33
448,3718,0,33
449,166,0,33
450,1181,0,33
451,164,1,34
452,306,1,34
453,307,1,34
454,308,1,34
455,313,1,34
456,314,1,34
457,315,1,34
458,316,1,34
459,3063,0,34
460,1945,0,34
461,1504,0,34
462,2610,0,34
463,282,0,34
464,1338,0,34
465,3028,0,34
466,2857,0,34
467,1093,0,34
468,293,1,35
469,55,1,35
470,107,0,35
471,2166,0,35
472,320,1,36
473,321,1,36
474,322,1,36
475,325,1,36
476,6,1,36
477,326,1,36
478,327,1,36
479,328,1,36
480,319,1,36
481,159,0,36
482,350,0,36
483,2580,0,36
484,459,0,36
485,2239,0,36
486,1815,0,36
487,558,0,36
488,332,1,37
489,333,1,37
490,334,1,37
491,15,1,37
492,340,1,37
493,341,1,37
494,345,1,37
495,343,1,37
496,3496,0,37
497,3543,0,37
498,2901,0,37
499,724,0,37
500,1051,0,37
501,2914,0,37
502,1037,0,37
503,1606,0,37
504,199,0,37
505,3759,0,37
506,241,1,38
507,250,1,38
508,347,1,38
509,348,1,38
510,349,1,38
511,350,1,38
512,351,1,38
513,2268,0,38
514,1992,0,38
515,3784,0,38
516,96,1,39
517,352,1,39
518,353,1,39
519,354,1,39
520,355,1,39
521,133,1,39
522,41,1,39
523,45,1,39
524,55,1,39
525,252,1,39
526,3780,0,39
527,2118,0,39
528,2504,0,39
529,1847,0,39
530,884,0,39
531,3022,0,39
532,3026,0,39
533,96,1,40
534,196,1,40
535,261,1,40
536,70,1,40
537,356,1,40
538,357,1,40
539,358,1,40
540,360,1,40
541,361,1,40
542,24,1,40
543,3110,0,40
544,366,0,40
545,2781,0,40
546,36,0,40
547,2224,0,40
548,2024,0,40
549,2951,0,40
550,738,0,40
551,1,0,40
552,1752,0,40
553,3823,0,40
554,2336,0,40
555,36,1,41
556,7,1,41
557,362,1,41
558,109,1,41
559,250,1,41
560,191,1,41
561,1450,0,41
562,1592,0,41
563,238,0,41
564,2828,0,41
565,779,0,41
566,354,0,41
567,135,1,42
568,74,1,42
569,171,1,42
570,202,1,42
571,204,1,42
572,363,1,42
573,364,1,42
574,365,1,42
575,366,1,42
576,367,1,42
577,368,1,42
578,369,1,42
579,87,1,42
580,370,1,42
581,371,1,42
582,1488,0,42
583,1996,0,42
584,1870,0,42
585,2875,0,42
586,3154,0,42
587,3551,0,42
588,2523,0,42
589,376,1,43
590,134,1,43
591,363,1,43
592,79,1,43
593,80,1,43
594,373,1,43
595,374,1,43
596,87,1,43
597,184,1,43
598,185,1,43
599,375,1,43
600,597,0,43
601,161,0,43
602,3245,0,43
603,859,0,43
604,2881,0,43
605,136,0,43
606,2856,0,43
607,74,1,44
608,77,1,44
609,79,1,44
610,115,1,44
611,378,1,44
612,127,1,44
613,3318,0,44
614,2882,0,44
615,2240,0,44
616,1220,0,44
617,3537,0,44
618,66,1,45
619,145,1,45
620,381,1,45
621,52,1,45
622,379,1,45
623,380,1,45
624,254,1,45
625,3583,0,45
626,1820,0,45
627,2352,0,45
628,676,0,45
629,2222,0,45
630,384,1,46
631,385,1,46
632,78,1,46
633,383,1,46
634,1226,0,46
635,1288,0,46
636,2499,0,46
637,460,0,46
638,3608,0,46
639,3769,0,46
640,387,1,47
641,36,1,47
642,388,1,47
643,390,1,47
644,391,1,47
645,392,1,47
646,46,1,47
647,52,1,47
648,55,1,47
649,187,1,47
650,21,0,47
651,1369,0,47
652,2131,0,47
653,1844,0,47
654,2625,0,47
655,2682,0,47
656,2933,0,47
657,3116,0,47
658,393,1,48
659,394,1,48
660,395,1,48
661,242,1,48
662,2091,0,48
663,982,0,48
664,595,0,48
665,1383,0,48
666,1201,0,48
667,739,0,48
668,2925,0,48
669,396,1,49
670,398,1,49
671,399,1,49
672,401,1,49
673,402,1,49
674,403,1,49
675,218,1,49
676,83,0,49
677,950,0,49
678,3597,0,49
679,3202,0,49
680,3126,0,49
681,195,0,49
682,130,1,50
683,72,1,50
684,87,1,50
685,120,1,50
686,127,1,50
687,1558,0,50
688,1027,0,50
689,3695,0,50
690,3811,0,50
691,3376,0,50
692,407,1,51
693,132,1,51
694,133,1,51
695,237,1,51
696,405,1,51
697,406,1,51
698,408,1,51
699,410,1,51
700,127,1,51
701,2915,0,51
702,2394,0,51
703,2335,0,51
704,3566,0,51
705,3388,0,51
706,2142,0,51
707,1476,0,51
708,416,1,52
709,419,1,52
710,420,1,52
711,422,1,52
712,423,1,52
713,424,1,52
714,425,1,52
715,426,1,52
716,376,1,52
717,412,1,52
718,414,1,52
719,415,1,52
720,289,0,52
721,176,0,52
722,3826,0,52
723,189,0,52
724,2274,0,52
725,1847,0,52
726,2722,0,52
727,1382,0,52
728,124,0,52
729,159,0,52
730,1846,0,52
731,2964,0,52
732,303,0,52
733,37,1,53
734,391,1,53
735,105,1,53
736,427,1,53
737,109,1,53
738,46,1,53
739,429,1,53
740,430,1,53
741,1138,0,53
742,231,0,53
743,1634,0,53
744,2679,0,53
745,1094,0,53
746,695,0,53
747,220,0,53
748,96,1,54
749,105,1,54
750,302,1,54
751,303,1,54
752,431,1,54
753,432,1,54
754,185,1,54
755,2679,0,54
756,1097,0,54
757,2641,0,54
758,1846,0,54
759,1352,0,54
760,1193,0,54
761,3613,0,54
762,98,1,55
763,377,1,55
764,206,1,55
765,79,1,55
766,434,1,55
767,435,1,55
768,436,1,55
769,437,1,55
770,184,1,55
771,185,1,55
772,1,0,55
773,2897,0,55
774,2017,0,55
775,554,0,55
776,1183,0,55
777,1904,0,55
778,294,0,55
779,96,1,56
780,100,1,56
781,446,1,56
782,72,1,56
783,443,1,56
784,438,1,56
785,440,1,56
786,441,1,56
787,155,1,56
788,444,1,56
789,445,1,56
790,286,1,56
791,2487,0,56
792,1412,0,56
793,823,0,56
794,3072,0,56
795,1900,0,56
796,3093,0,56
797,1971,0,56
798,1386,0,56
799,3550,0,56
800,1829,0,56
801,2154,0,56
802,158,1,57
803,449,1,57
804,451,1,57
805,452,1,57
806,197,1,57
807,455,1,57
808,457,1,57
809,458,1,57
810,459,1,57
811,462,1,57
812,463,1,57
813,464,1,57
814,1528,0,57
815,3294,0,57
816,1387,0,57
817,1815,0,57
818,2267,0,57
819,2600,0,57
820,2252,0,57
821,3737,0,57
822,1460,0,57
823,2646,0,57
824,1381,0,57
825,3403,0,57
826,1293,0,57
827,466,1,58
828,468,1,58
829,469,1,58
830,471,1,58
831,472,1,58
832,61,1,58
833,3618,0,58
834,223,0,58
835,2905,0,58
836,2107,0,58
837,3290,0,58
838,1880,0,58
839,2450,0,58
840,477,1,59
841,354,1,59
842,74,1,59
843,24,1,59
844,475,1,59
845,479,1,59
846,3786,0,59
847,1128,0,59
848,2000,0,59
849,480,1,60
850,481,1,60
851,871,0,60
852,67,1,61
853,483,1,61
854,486,1,61
855,487,1,61
856,488,1,61
857,489,1,61
858,490,1,61
859,3430,0,61
860,3349,0,61
861,3542,0,61
862,300,0,61
863,748,0,61
864,469,0,61
865,2473,0,61
866,96,1,62
867,493,1,62
868,494,1,62
869,495,1,62
870,210,1,62
871,3500,0,62
872,83,0,62
873,310,0,62
874,1791,0,62
875,953,0,62
876,227,1,63
877,503,1,63
878,496,1,63
879,497,1,63
880,498,1,63
881,275,1,63
882,501,1,63
883,502,1,63
884,26,1,63
885,3654,0,63
886,3309,0,63
887,2782,0,63
888,3653,0,63
889,2280,0,63
890,1599,0,63
891,128,1,64
892,130,1,64
893,135,1,64
894,73,1,64
895,77,1,64
896,80,1,64
897,81,1,64
898,87,1,64
899,2691,0,64
900,2483,0,64
901,1102,0,64
902,273,0,64
903,128,1,65
904,513,1,65
905,67,1,65
906,419,1,65
907,514,1,65
908,515,1,65
909,516,1,65
910,517,1,65
911,518,1,65
912,519,1,65
913,508,1,65
914,521,1,65
915,155,1,65
916,510,1,65
917,3344,0,65
918,998,0,65
919,3808,0,65
920,1274,0,65
921,2001,0,65
922,1134,0,65
923,2394,0,65
924,1849,0,65
925,1027,0,65
926,2806,0,65
927,675,0,65
928,3012,0,65
929,295,1,66
930,523,1,66
931,524,1,66
932,46,1,66
933,525,1,66
934,528,1,66
935,529,1,66
936,55,1,66
937,60,1,66
938,785,0,66
939,1426,0,66
940,124,0,66
941,2548,0,66
942,940,0,66
943,3113,0,66
944,2075,0,66
945,620,0,66
946,3753,0,66
947,1895,0,66
948,2909,0,66
949,50,0,66
950,535,1,67
951,42,1,67
952,242,1,67
953,245,1,67
954,533,1,67
955,534,1,67
956,536,1,67
957,537,1,67
958,250,1,67
959,285,1,67
960,1241,0,67
961,3335,0,67
962,388,0,67
963,3749,0,67
964,2862,0,67
965,3365,0,67
966,2919,0,67
967,3352,0,67
968,3330,0,67
969,1212,0,67
970,1802,0,67
971,66,1,68
972,74,1,68
973,80,1,68
974,117,1,68
975,22,1,68
976,185,1,68
977,254,1,68
978,1954,0,68
979,1009,0,68
980,2176,0,68
981,1447,0,68
982,1707,0,68
983,278,0,68
984,257,1,69
985,545,1,69
986,546,1,69
987,542,1,69
988,331,1,69
989,13,1,69
990,275,1,69
991,25,1,69
992,221,1,69
993,446,1,69
994,543,1,69
995,2482,0,69
996,1524,0,69
997,1021,0,69
998,1726,0,69
999,2321,0,69
1000,2488,0,69
1001,3106,0,69
1002,51,0,69
1003,547,1,70
1004,548,1,70
1005,550,1,70
1006,552,1,70
1007,553,1,70
1008,171,1,70
1009,558,1,70
1010,559,1,70
1011,126,1,70
1012,949,0,70
1013,705,0,70
1014,3397,0,70
1015,2744,0,70
1016,2937,0,70
1017,3517,0,70
1018,2444,0,70
1019,1151,0,70
1020,3308,0,70
1021,644,0,70
1022,96,1,71
1023,130,1,71
1024,102,1,71
1025,135,1,71
1026,376,1,71
1027,254,1,71
1028,2801,0,71
1029,2881,0,71
1030,15,0,71
1031,557,0,71
1032,3126,0,71
1033,3140,0,71
1034,759,0,71
1035,2030,0,71
1036,702,0,71
1037,99,1,72
1038,562,1,72
1039,564,1,72
1040,566,1,72
1041,93,1,72
1042,95,1,72
1043,744,0,72
1044,1759,0,72
1045,1398,0,72
1046,419,0,72
1047,3825,0,72
1048,853,0,72
1049,40,1,73
1050,107,1,73
1051,569,1,73
1052,570,1,73
1053,571,1,73
1054,252,1,73
1055,573,1,73
1056,3100,0,73
1057,2152,0,73
1058,2930,0,73
1059,1348,0,73
1060,2057,0,73
1061,1266,0,73
1062,3333,0,73
1063,3726,0,73
1064,1193,0,73
1065,576,1,74
1066,577,1,74
1067,578,1,74
1068,579,1,74
1069,581,1,74
1070,582,1,74
1071,119,1,74
1072,314,1,74
1073,574,1,74
1074,575,1,74
1075,2,0,74
1076,2557,0,74
1077,952,0,74
1078,810,0,74
1079,1270,0,74
1080,2028,0,74
1081,3768,0,74
1082,134,1,75
1083,583,1,75
1084,584,1,75
1085,75,1,75
1086,76,1,75
1087,399,1,75
1088,1305,0,75
1089,2667,0,75
1090,2459,0,75
1091,1030,0,75
1092,199,1,76
1093,586,1,76
1094,588,1,76
1095,589,1,76
1096,208,1,76
1097,212,1,76
1098,1875,0,76
1099,923,0,76
1100,70,1,77
1101,590,1,77
1102,591,1,77
1103,592,1,77
1104,593,1,77
1105,594,1,77
1106,595,1,77
1107,597,1,77
1108,598,1,77
1109,599,1,77
1110,600,1,77
1111,603,1,77
1112,604,1,77
1113,606,1,77
1114,2589,0,77
1115,1150,0,77
1116,2508,0,77
1117,3207,0,77
1118,1797,0,77
1119,1409,0,77
1120,3765,0,77
1121,29,0,77
1122,608,1,78
1123,609,1,78
1124,610,1,78
1125,611,1,78
1126,613,1,78
1127,616,1,78
1128,617,1,78
1129,618,1,78
1130,619,1,78
1131,111,1,78
1132,620,1,78
1133,621,1,78
1134,159,1,78
1135,2748,0,78
1136,2469,0,78
1137,3213,0,78
1138,791,0,78
1139,284,0,78
1140,1292,0,78
1141,2853,0,78
1142,1104,0,78
1143,2998,0,78
1144,3062,0,78
1145,641,1,79
1146,645,1,79
1147,646,1,79
1148,36,1,79
1149,44,1,79
1150,623,1,79
1151,624,1,79
1152,626,1,79
1153,627,1,79
1154,628,1,79
1155,630,1,79
1156,632,1,79
1157,635,1,79
1158,636,1,79
1159,638,1,79
1160,639,1,79
1161,3110,0,79
1162,2060,0,79
1163,2535,0,79
1164,118,0,79
1165,3243,0,79
1166,1073,0,79
1167,2778,0,79
1168,2420,0,79
1169,2263,0,79
1170,2507,0,79
1171,1661,0,79
1172,3791,0,79
1173,1103,0,79
1174,1744,0,79
1175,1937,0,79
1176,754,0,79
1177,36,1,80
1178,52,1,80
1179,190,1,80
1180,2014,0,80
1181,256,0,80
1182,2865,0,80
1183,3657,0,80
1184,34,1,81
1185,648,1,81
1186,649,1,81
1187,651,1,81
1188,653,1,81
1189,654,1,81
1190,655,1,81
1191,656,1,81
1192,210,1,81
1193,474,1,81
1194,252,1,81
1195,2114,0,81
1196,2550,0,81
1197,3084,0,81
1198,3254,0,81
1199,2087,0,81
1200,219,0,81
1201,432,1,82
1202,657,1,82
1203,658,1,82
1204,212,1,82
1205,213,1,82
1206,220,1,82
1207,2594,0,82
1208,3220,0,82
1209,3020,0,82
1210,521,0,82
1211,3696,0,82
1212,1822,0,82
1213,132,1,83
1214,115,1,83
1215,372,1,83
1216,660,1,83
1217,662,1,83
1218,185,1,83
1219,127,1,83
1220,204,0,83
1221,1276,0,83
1222,1537,0,83
1223,2015,0,83
1224,1489,0,83
1225,3436,0,83
1226,2301,0,83
1227,2121,0,83
1228,42,0,83
1229,163,1,84
1230,614,1,84
1231,48,1,84
1232,54,1,84
1233,151,1,84
1234,664,1,84
1235,666,1,84
1236,669,1,84
1237,670,1,84
1238,159,1,84
1239,2716,0,84
1240,1910,0,84
1241,3045,0,84
1242,3680,0,84
1243,3245,0,84
1244,2290,0,84
1245,3264,0,84
1246,2096,0,84
1247,96,1,85
1248,46,1,85
1249,47,1,85
1250,303,1,85
1251,671,1,85
1252,91,1,85
1253,127,1,85
1254,340,0,85
1255,128,0,85
1256,1671,0,85
1257,2159,0,85
1258,3009,0,85
1259,3461,0,85
1260,2824,0,85
1261,3134,0,85
1262,672,1,86
1263,673,1,86
1264,675,1,86
1265,2899,0,86
1266,2308,0,86
1267,3677,0,86
1268,224,1,87
1269,676,1,87
1270,677,1,87
1271,679,1,87
1272,680,1,87
1273,682,1,87
1274,683,1,87
1275,684,1,87
1276,685,1,87
1277,686,1,87
1278,687,1,87
1279,689,1,87
1280,307,1,87
1281,275,1,87
1282,541,1,87
1283,2993,0,87
1284,2616,0,87
1285,3727,0,87
1286,1351,0,87
1287,2651,0,87
1288,1141,0,87
1289,107,0,87
1290,516,0,87
1291,96,0,87
1292,738,0,87
1293,1485,0,87
1294,2840,0,87
1295,604,0,87
1296,98,1,88
1297,72,1,88
1298,74,1,88
1299,80,1,88
1300,691,1,88
1301,693,1,88
1302,535,1,88
1303,184,1,88
1304,18,0,88
1305,1256,0,88
1306,78,0,88
1307,3750,0,88
1308,2996,0,88
1309,1297,0,88
1310,3649,0,88
1311,818,0,88
1312,3322,0,88
1313,516,1,89
1314,111,1,89
1315,53,1,89
1316,695,1,89
1317,696,1,89
1318,670,1,89
1319,223,1,89
1320,3620,0,89
1321,2517,0,89
1322,1598,0,89
1323,161,0,89
1324,1709,0,89
1325,700,1,90
1326,134,1,90
1327,74,1,90
1328,77,1,90
1329,206,1,90
1330,87,1,90
1331,184,1,90
1332,698,1,90
1333,699,1,90
1334,572,1,90
1335,127,1,90
1336,2367,0,90
1337,539,0,90
1338,1063,0,90
1339,2819,0,90
1340,49,0,90
1341,2958,0,90
1342,2617,0,90
1343,3190,0,90
1344,477,0,90
1345,2290,0,90
1346,133,1,91
1347,74,1,91
1348,399,1,91
1349,81,1,91
1350,52,1,91
1351,701,1,91
1352,702,1,91
1353,443,0,91
1354,2371,0,91
1355,1916,0,91
1356,815,0,91
1357,3324,0,91
1358,1698,0,91
1359,704,1,92
1360,705,1,92
1361,197,1,92
1362,708,1,92
1363,107,1,92
1364,523,1,92
1365,208,1,92
1366,703,1,92
1367,575,1,92
1368,504,0,92
1369,2204,0,92
1370,777,0,92
1371,865,0,92
1372,835,0,92
1373,1947,0,92
1374,1298,0,92
1375,1991,0,92
1376,1419,0,92
1377,210,0,92
1378,270,0,92
1379,80,1,93
1380,538,1,93
1381,127,1,93
1382,2707,0,93
1383,1401,0,93
1384,3494,0,93
1385,354,1,94
1386,708,1,94
1387,105,1,94
1388,112,1,94
1389,187,1,94
1390,572,1,94
1391,2988,0,94
1392,1286,0,94
1393,3347,0,94
1394,604,0,94
1395,3635,0,94
1396,3368,0,94
1397,3346,0,94
